company,skills,experience_in_years,place
3RITechnologiesPvtLtd,"python scripting  ,  xml  ,  pl  /  sql  ,  python  ,  openerp              ",1 - 4 ,Pune
INFOWIZSoftwareSolutions,"python  ,  django  ,  git  ,  html5  ,  debugging  ,  svn  ,  javascript              ",3 - 4 ,Chandigarh
Larsen&ToubroInfotechLtd,"python  ,  bi  ,  sql  ,  visual studio  ,  database  ,  ssrs              ",5 - 8 ,Mumbai
SuryaInformaticsSolutionsPvt.Ltd.,"python  ,  web technologies  ,  linux  ,  mobile  ,  mysql  ,  angularjs  ,  javascript              ",0 - 3 ,Chennai
GEMINISOFTWARESOLUTIONS,"python  ,  mobile  ,  svn  ,  nosql  ,  python scripting  ,  git  ,  sql database              ",4 - 7 ,Gurgaon
GeminiSolutions,"python  ,  mobile  ,  svn  ,  nosql  ,  python scripting  ,  git  ,  api  ,  sql database              ",4 - 7 ,Gurgaon
"RESEARCHDEVELOPERS(MoreJobs)
","python  ,  research              ",0 - 3 ,(More Jobs) 
iBosonInnovations,"python  ,  oops  ,  storage  ,   knowledge of python",2 - 5 ,Thiruvananthapuram
SEVENCONSULTANCY,"                rest  ,  python  ,  storage              ",1 - 3 ,"Navi Mumbai,  Mumbai,  Thane"
APPLYCUPHIRINGSOLUTIONSLLP,"python   ,  Django  ,   Object Relational Mapper              ",3 - 5 ,Surat
APPLYCUPHIRINGSOLUTIONSLLP,"python  ,  web technologies  ,  web technologies              ",4 - 6 ,Pune
OodlesTechnologies,"python  ,  database  ,  django  ,  uml              ",1 - 2 ,Gurgaon
TandAHRSolutions,"                Django framework  ,  Python Developer  ,  core python",3 - 5 ,Mohali
APPLYCUPHIRINGSOLUTIONSLLP,"python  ,  django  ,  html5  ,  javascript              ",2 - 15 ,"Gurgaon,  Delhi,  Delhi/NCR"
zengatv,"python  ,  django  ,  html5  ,  javascript              ",2 - 5 ,Gurgaon
BHSSTAFFINGSERVICESPVT.LTD.,"python  ,  mobile  ,  debugging              ",1 - 2 ,"Mumbai,  Thane"
TandAHRSolutions,"python  ,  git  ,  django              ",5 - 8 ,Chandigarh
JobsLoConsultants,"python  ,  linux  ,  windows  ,  sql              ",2 - 3 ,Indore
TECHNOPARKTRIVANDRUM,"python  ,  oops  ,  storage  ,   Writing reusable code              ",2 - 5 ,Thiruvananthapuram
3RITechnologiesPvtLtd,"python  ,  Pandas  ,   PyQt5  ,   Matplotlib  ,   Openpyxl              ",0 - 1 ,Pune
APPLYCUPHIRINGSOLUTIONSLLP,"python  ,  django  ,  html5  ,  javascript              ",2 - 4 ,Gandhinagar
Larsen&ToubroInfotechLtd,"                algorithms  ,  python  ,  data mining  ,  machine learning              ",3 - 6 ,Mumbai
Larsen&ToubroInfotechLtd,"                algorithms  ,  python  ,  data mining  ,  machine learning              ",3 - 6 ,Bengaluru / Bangalore
MasterMindConsultancy,"python  ,  team player  ,  machine learning  ,  opencv              ",7 - 13 ,Mumbai
Forstaffing,"                mysql  ,  python  ,  node.js  ,  django  ,  written communication              ",2 - 4 ,Gurgaon
